DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
,2,JCU,30,,Pistol,Pass Attempt,R,11,6,5,,,,3.55,7,,,6,,Catch,OnTarg,2,34,No,Singleback,Checkdown,4,3.45,0,
,4,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,10.65,11.96,,,5,,Catch,OnTarg,-2,34,No,RB Left,Swing,7,1.31,0,
,5,JCU,35,,Pistol,Pass Attempt,M,11,6,5,,,,0.88,2.98,,,8,,Catch,OnTarg,5,34,No,RB Left,Sit,3,2.1,0,
,7,JCU,45,,Pistol,QB Scramble,,11,6,5,,,,,,,,7,,,,,,,,,No Catch,0,0,
,9,OPP,45,,Pistol,Pass Attempt,L,11,7,5,,,,6.03,8.27,,,0,,Incomplete,OnTarg,40,14,No,Wide Left,Go,No Catch,2.24,0,
,10,OPP,45,,Pistol,Pass Attempt,M,11,7,5,,,,6.86,9.1,,,20,,Catch,OnTarg,10,4,No,Slot Right,Curl,10,2.24,0,
,12,OPP,20,,Pistol,Pass Attempt,L,11,3,5,,,,12.76,18.25,,,20,TD,Catch,OnTarg,20,14,No,Wide Left,Post,0,5.49,0,
Skip 17 and these,1,JCU,30,,Pistol,Run,L,12,7,5,34,-3,,,,4.36,5.82,-3,,,,,,,,,No Catch,0,1.46,
,2,JCU,30,,Pistol,Run,M,12,7,5,34,0,,,,9.01,9.93,1,,,,,,,,,No Catch,0,0.92,
,3,JCU,30,,Pistol,Run,R,11,6,5,34,4,,,,4.03,6,5,,,,,,,,,No Catch,0,1.97,
